Voltage_measured,Current_measured,Temperature_measured,Current_load,Voltage_load,Time,Sense_current,Battery_current,Current_ratio,Battery_impedance,Rectified_Impedance,Current_charge,Voltage_charge,ambient_temperature,time,id_cycle,Capacity,Capacity_Fade,Resistance_Increase,Temperature_variation,Average_discharge_current,Discharge_Time,Estimated_SoC,Estimated_SoH
4.246711253516259,0.000252388610586,6.212696115916043,0.0002,0.0,0.0,0,0,0,0,0,0.5085691115261516,4.058924966635322,0,0,0,0.0,0.0,0.0,13.109051492029229,-0.002096454531802342,0.0,50.605769942533975,0.0
4.246764125510136,-0.0014110647362388,6.234018870000787,0.0002,4.262,9.36,0,0,0,0,0,0.5085691115261516,4.058924966635322,0,0,743,4.760206883884779,-4.760206883884779,-0.0008732068260043573,12.209156635690459,0.05606613407342245,9.36,50.60639977867618,0.08732068260043573
4.039277018171289,-0.99509341180498,6.250254735870466,1.0,3.465,23.281,0,0,0,0,0,0.5085691115261516,4.058924966635322,0,0,2608,11.839997485440334,-11.839997485440334,-0.0021719153970307095,2.4288970590741488,0.2504224355719355,23.281,48.13471543957807,0.21719153970307095
4.019506433278611,-0.9967310600613466,6.3021756591391584,1.0,3.451,36.406,0,0,0,0,0,0.5085691115261516,4.058924966635322,0,0,4202,18.514967074221072,-18.514967074221072,-0.0033963640713156654,10.167773935387292,-0.7947205595328244,36.406,47.89919890228192,0.33963640713156656
4.004763260680274,-0.9928446352399166,6.361644677784643,1.0,3.438,49.625,0,0,0,0,0,0.5085691115261516,4.058924966635322,0,0,5601,25.237742159485272,-25.237742159485272,-0.0046295821303916915,0.17216575038964405,-1.0001105923849245,49.625,47.72357127275206,0.4629582130391692
3.992862708424408,-0.9959566094030224,6.3996923588972825,1.0,3.427,62.813,0,0,0,0,0,0.5085691115261516,4.058924966635322,0,0,7001,31.94475160229216,-31.94475160229216,-0.0058599081583132154,9.165076381220798,-0.6424628484796985,62.813,47.58180627821962,0.5859908158313215
3.982346795099297,-0.9946648032078992,6.23361305198984,1.0,3.419,75.89099999999999,0,0,0,0,0,0.5085691115261516,4.058924966635322,0,0,8490,38.59581844283117,-38.59581844283117,-0.007079972140202636,22.114704995326203,-0.7142338545220293,75.89099999999999,47.456535756063545,0.7079972140202636
3.9724578113821183,-0.998752928828478,5.984853971653922,1.0,3.4,89.031,0,0,0,0,0,0.5085691115261516,4.058924966635322,0,0,9955,45.278416568284804,-45.278416568284804,-0.008305820184401062,25.004305534967607,0.39184410063471803,89.031,47.33873351525526,0.8305820184401063
3.9637400413432737,-0.99413979170872,5.857701988766819,1.0,3.391,102.141,0,0,0,0,0,0.5085691115261516,4.058924966635322,0,0,11253,51.945757620392655,-51.945757620392655,-0.00952886948877255,19.575772857960192,0.9759736951516016,102.141,47.23488332449771,0.9528869488772551
3.955432272676673,-0.9937968630394284,5.772313170034769,1.0,3.386,115.297,0,0,0,0,0,0.5085691115261516,4.058924966635322,0,0,12552,58.6364928516307,-58.6364928516307,-0.010756210194212006,9.531940805251802,1.1769079458489615,115.297,47.13591726357252,1.0756210194212006
